,A Predicted,B Predicted,C Predicted,A Error,B Error,C Error,MSE,Train Time
0,-0.27037888,0.191446632,0.168502374,-1.901262932,-0.521383419,-0.662995251,1.637139383,0.015625
1,0.564579733,-0.084430111,-0.039297574,0.881932443,-1.211075277,-1.078595148,0.042561848,0.015625
2,-0.593096925,0.072077574,0.046088399,-2.976989752,-0.819806065,-0.907823201,0.378697312,0.015625
3,-0.339436946,0.154625253,0.102923063,-2.131456488,-0.613436867,-0.794153874,2.177674869,0.03125
4,-0.298895407,0.1625449,0.145505185,-1.996318024,-0.593637749,-0.708989629,2.846994402,0.015625
5,-0.736292555,0.061814449,0.18452724,-3.454308518,-0.845463878,-0.63094552,1.666632328,0
6,-1.130474262,0.137303271,0.054422485,-4.768247541,-0.656741823,-0.891155029,1.103864063,0.015625
7,0.962801004,0.052585742,-0.013672417,2.20933668,-0.868535644,-1.027344835,0.057316386,0.015625
8,-0.612126989,0.113378627,0.220014854,-3.040423297,-0.716553432,-0.559970292,2.845477534,0.03125
9,0.833258542,-0.061663479,0.080318001,1.777528473,-1.154158697,-0.839363997,0.289269936,0
10,-0.33533125,0.039357329,0.160830352,-2.117770835,-0.901606677,-0.678339297,1.219397293,0.015625
11,-0.084251669,-0.112083832,-0.010772036,-1.280838895,-1.28020958,-1.021544073,0.042115359,0.015625
12,-0.333341566,0.048066078,0.208557492,-2.111138555,-0.879834806,-0.582885015,2.101478462,0
13,0.784438335,0.097034948,0.018807753,1.614794449,-0.75741263,-0.962384493,0.019977861,0.015625
14,-0.348998917,0.114543629,0.019049095,-2.163329724,-0.713640928,-0.96190181,0.501863555,0.015625
15,-0.252784532,-0.013230806,0.027308781,-1.842615107,-1.033077014,-0.945382437,0.03050955,0.015625
16,0.151837822,-0.120301434,0.009670218,-0.493873926,-1.300753585,-0.980659564,0.042006637,0.015625
17,0.070089381,0.039304607,-0.021158264,-0.766368731,-0.901738481,-1.042316528,0.086725038,0.015625
18,0.630504743,0.179290146,0.027584287,1.101682478,-0.551774635,-0.944831425,0.415419531,0.015625
19,0.264943492,-0.053547509,0.065639271,-0.116855028,-1.133868773,-0.868721457,0.040653229,0
20,-0.357981187,0.048207095,0.105256801,-2.193270622,-0.879482262,-0.789486398,0.304830822,0
21,-0.664132012,0.140462974,0.111646459,-3.213773373,-0.648842566,-0.776707081,0.636329002,0.015625
22,-0.814690753,-0.038189373,0.07942344,-3.715635843,-1.095473432,-0.84115312,0.098434841,0
23,-0.502312758,0.021286662,0.018274575,-2.67437586,-0.946783346,-0.96345085,0.033343392,0
24,-0.398725015,-0.009833098,0.06012661,-2.329083384,-1.024582745,-0.87974678,0.080540816,0
25,-0.920418486,0.065364296,0.192739405,-4.068061621,-0.83658926,-0.614521191,1.850470292,0.03125
26,-1.181536686,0.09049464,0.026513482,-4.938455621,-0.773763399,-0.946973036,0.43826206,0
27,0.920278152,0.013499584,-0.083992827,2.067593841,-0.96625104,-1.167985655,0.094563417,0.015625
28,0.888494773,-0.036254964,0.03446522,1.961649242,-1.090637409,-0.93106956,0.029797686,0.015625
29,0.62549167,-0.07494987,0.051348557,1.084972232,-1.187374675,-0.897302887,0.041343217,0
30,1.048544361,-0.141190194,-0.031942317,2.495147869,-1.352975486,-1.063884633,0.855578535,0.015625
31,0.430764104,0.095182997,0.154382667,0.435880346,-0.762042509,-0.691234666,0.989801113,0
32,-0.47992564,0.085154393,0.108026176,-2.599752135,-0.787114019,-0.783947647,1.093146029,0.078125
33,1.218668169,-0.057321986,-0.037195141,3.062227229,-1.143304965,-1.074390282,0.234678725,0.015625
34,0.550003541,0.077637842,0.03203718,0.833345135,-0.805905396,-0.93592564,0.476196653,0.015625
35,-0.799448071,0.023672089,0.124202763,-3.664826902,-0.940819777,-0.751594474,0.738071022,0.015625
36,-0.109376153,0.113888359,0.021779773,-1.364587175,-0.715279104,-0.956440454,0.536757103,0
37,0.989893905,-0.029502549,0.100991784,2.299646351,-1.073756372,-0.798016432,0.211816095,0.015625
38,0.299995493,0.061389005,-0.130937261,-1.50E-05,-0.846527487,-1.261874523,0.1243775,0.015625
39,0.247523234,-0.073395529,0.000147717,-0.174922552,-1.183488823,-0.999704566,0.163421486,0.015625
40,0.459866427,-0.011842912,0.026489564,0.53288809,-1.02960728,-0.947020873,0.033642638,0.015625
41,-1.031934649,0.177121415,0.144182868,-4.439782165,-0.557196462,-0.711634264,2.898261592,0.015625
